 m	 n	¦Â   threshold   ¦Ë     ¦Ì   offlinecost         onlinecost_default       onlinecost_balance      onlinecost_priority      onlinecost_random   on/off   ¦Ã_on  ¦Ã_off  avecost
200	8045	0.29	100	1.0	5.0	7806.7			15196.8			18539.9			15146.5			15321.8		1.95	88.85	85.13	0.97
200	8045	0.29	100	1.2	4.8	9155.9			17763.7			21418.9			17693.5			17883.6		1.94	86.53	83.19	1.14
200	8045	0.29	100	1.5	4.5	11112.6			21265.6			25220.8			21204.8			21437.6		1.91	82.18	79.76	1.38
200	8045	0.29	100	2.0	4.0	14065.0			26206.6			29825.6			26160.9			26419.2		1.86	74.27	72.48	1.75
200	8045	0.29	100	3.0	3.0	18403.1			32133.3			34036.3			32116.3			32355.3		1.75	56.49	55.84	2.29
200	8045	0.29	100	4.0	2.0	19480.9			30810.3			31041.7			30776.8			30937.0		1.58	35.13	34.88	2.42
200	8045	0.29	100	4.5	1.5	18084.4			26629.4			26198.6			26610.7			26700.4		1.47	23.58	23.46	2.25
200	8045	0.29	100	4.8	1.2	16380.8			22859.5			22540.4			22845.2			22905.5		1.40	16.77	16.69	2.04
200	8045	0.29	100	5.0	1.0	14838.1			20060.0			19687.5			20055.0			20092.3		1.35	12.98	12.91	1.84
200	13324	0.37	200	1.0	5.0	13194.6			25680.2			31543.8			25654.7			25848.1		1.95	90.48	86.15	0.99
200	13324	0.37	200	1.2	4.8	15459.9			30044.9			36740.0			30016.8			30150.0		1.94	88.34	84.79	1.16
200	13324	0.37	200	1.5	4.5	18763.9			36184.7			43822.9			36158.3			36314.4		1.93	84.88	82.13	1.41
200	13324	0.37	200	2.0	4.0	23890.0			45214.3			52976.7			45183.6			45353.4		1.89	78.49	76.55	1.79
200	13324	0.37	200	3.0	3.0	31945.4			57150.6			62656.6			57197.9			57290.9		1.79	62.48	61.63	2.40
200	13324	0.37	200	4.0	2.0	34957.6			57300.9			58502.4			57356.9			57363.8		1.64	41.78	41.48	2.62
200	13324	0.37	200	4.5	1.5	33239.9			50888.1			50651.6			50897.2			50855.6		1.53	29.39	29.18	2.49
200	13324	0.37	200	4.8	1.2	30592.3			44285.8			43644.6			44281.9			44266.2		1.45	21.40	21.28	2.30
200	13324	0.37	200	5.0	1.0	27970.8			38687.6			38030.4			38675.8			38649.6		1.38	16.08	15.96	2.10
200	22012	0.51	500	1.0	5.0	22852.3			44127.5			54056.2			44186.7			44241.1		1.93	93.03	88.19	1.04
200	22012	0.51	500	1.2	4.8	26673.9			51720.4			63462.3			51791.1			51792.6		1.94	91.49	86.99	1.21
200	22012	0.51	500	1.5	4.5	32282.6			62484.4			76576.7			62673.0			62658.0		1.94	88.62	84.93	1.47
200	22012	0.51	500	2.0	4.0	41105.3			78872.3			95506.6			79055.3			79002.0		1.92	83.55	80.92	1.87
200	22012	0.51	500	3.0	3.0	56115.0			103708.9		119579.2		104009.9		103844.6	1.85	70.95	69.51	2.55
200	22012	0.51	500	4.0	2.0	64501.2			111947.7		121743.2		112231.7		111913.7	1.74	53.47	52.82	2.93
200	22012	0.51	500	4.5	1.5	63987.1			105530.2		110912.6		105794.2		105501.6	1.65	41.74	41.30	2.91
200	22012	0.51	500	4.8	1.2	60993.9			95802.3			98337.3			96072.2			95790.3		1.57	32.84	32.60	2.77
200	22012	0.51	500	5.0	1.0	57365.8			86885.4			87918.0			87051.6			86877.4		1.51	26.76	26.58	2.61
200	28390	0.64	1000	1.0	5.0	31405.2			59287.5			70697.3			59424.3			59352.8		1.89	94.38	88.95	1.11
200	28390	0.64	1000	1.2	4.8	36311.5			69207.9			83378.4			69397.9			69314.3		1.91	92.96	87.97	1.28
200	28390	0.64	1000	1.5	4.5	43518.4			83535.5			101170.5		83770.1			83565.8		1.92	90.70	86.33	1.53
200	28390	0.64	1000	2.0	4.0	55059.2			105591.7		128003.9		105965.7		105694.7	1.92	86.34	82.90	1.94
200	28390	0.64	1000	3.0	3.0	75247.6			141057.5		167398.5		141639.2		141264.1	1.87	75.62	73.56	2.65
200	28390	0.64	1000	4.0	2.0	88306.9			157800.6		179289.0		158406.2		157941.5	1.79	60.38	59.30	3.11
200	28390	0.64	1000	4.5	1.5	89624.7			153831.6		169863.0		154475.7		154028.9	1.72	49.80	49.11	3.16
200	28390	0.64	1000	4.8	1.2	87266.9			144828.2		157234.6		145399.6		144921.7	1.66	41.95	41.42	3.07
200	28390	0.64	1000	5.0	1.0	83714.4			134887.6		143875.0		135356.2		134951.2	1.61	35.85	35.46	2.95
200	33293	0.73	2000	1.0	5.0	41045.3			74100.6			86057.7			74293.1			74130.9		1.81	95.25	89.44	1.23
200	33293	0.73	2000	1.2	4.8	46687.6			85783.1			100761.5		86040.1			85840.4		1.84	94.03	88.54	1.40
200	33293	0.73	2000	1.5	4.5	54999.5			102722.2		121912.9		103106.6		102776.9	1.87	92.06	87.21	1.65
200	33293	0.73	2000	2.0	4.0	68358.5			129160.7		154287.3		129694.2		129248.7	1.89	88.35	84.30	2.05
200	33293	0.73	2000	3.0	3.0	92154.5			172808.7		205137.5		173708.6		173111.1	1.88	78.71	76.08	2.77
200	33293	0.73	2000	4.0	2.0	108476.5		196779.9		229027.4		197759.3		197200.5	1.81	65.07	63.37	3.26
200	33293	0.73	2000	4.5	1.5	111131.2		195370.9		222348.1		196466.8		195848.7	1.76	55.36	54.18	3.34
200	33293	0.73	2000	4.8	1.2	109449.1		187455.3		210966.8		188478.6		187896.5	1.71	48.18	47.26	3.29
200	33293	0.73	2000	5.0	1.0	106223.8		177755.1		197891.8		178670.0		178173.8	1.67	42.50	41.79	3.19
150	4015	0.29	60	1.0	5.0	3874.1			7503.6			9002.7			7469.3			7525.5		1.94	87.05	82.69	0.96
150	4015	0.29	60	1.2	4.8	4530.6			8730.7			10316.8			8693.3			8751.7		1.93	84.31	80.47	1.13
150	4015	0.29	60	1.5	4.5	5468.3			10401.0			12086.1			10362.3			10426.6		1.90	79.73	76.64	1.36
